Usecase,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,Average
Register,9.44,9.20,8.8,8.6,,,,,,,
Login,9.44,10,9.5,8.6,,,,,,,
Change Password,*,*,8.7,8.1,,,,,,,
Logout,9.44,10,9.7,8.5,,,,,,,
Create Mission,9,9,8.6,8.6,,,,,,,
Edit Mission,*,9.5,9.8,8.8,,,,,,,
Add User,8.88,8.2,8,8,,,,,,,
View Missions,10,10,9.8,9.1,,,,,,,
Manage Tasks,9.7,9,9.3,9.3,,,,,,,
Complete Task,*,9.2,9.2,9,,,,,,,
Custom Rewards,9.94,9.5,9.8,9.6,,,,,,,
Spend points on rewards,*,*,9.7,9.5,,,,,,,
View Mission Statistics,*,*,9.4,9.5,,,,,,,
View User Statistics,*,*,*,*,,,,,,,
Leave Mission,*,*,*,*,,,,,,,
Average,9.48,9.36,9.24,8.89,,,,,,,
